Arlywydd yr Unol Daleithiau, Bartholomew Roberts, Cymru
Bethan Rhys Roberts, Cyfnod y Tuduriaid, Helyntion Beca
Rhyfel Cartref America, y Brythoniaid, y Chwyldro Diwydiannol
y Dirwasgiad Mawr, yr Oesoedd Canol, y Rhyfel Oer
Bob Dylan, Bryn Fôn, Caryl Parry Jones
Ceri Wyn Jones, Cymraeg, Dafydd Dafis
Dafydd Iwan, Dewi Pws Morris, Dewi Sant
Dic Jones, Duw, Dyfan Rees
Edward H. Dafis, Emyr Wyn, Ffion Dafis
Gareth F. Williams, Gaynor Morgan Rees, Gerallt Lloyd Owen
Gerallt Pennant, gwe fyd-eang, Gwynfor Evans
Harri Morgan, Heather Jones, Heledd Cynwal
Huw Chiswell, Iesu, Ieuan Roberts
Ifan Huw Dafydd, Iwan Llwyd, John Pierce Jones
J.O. Roberts, Kate Roberts, Llywelyn Fawr
Manon Steffan Ros, Myrddin ap Dafydd, Basgiaid
Cymry, Richard Elfyn, Rhodri Morgan
Rhys Ifans, Saunders Lewis, Tom Jones
Tudur Dylan Jones, Tudur Owen, y brenin Arthur
y Celtiaid, y dywysoges Gwenllian, y fam Teresa
