Sentence		Source
Մարդիկ իրենց վեճերի, կռիվների, տարաձայնությունների համար դիմում էին այդ զանգակին:		Երկնքի զանգակը 1882
Զանգակը կախված էր մի ընդարձակ դաշտի վրա:		Երկնքի զանգակը 1882
Գործի քննության ժամանակ ո՛չ մի ձայն, ո՛չ մի շշուկ չէր լսվում հանդիսատես ահագին ամբոխի միջից.		Երկնքի զանգակը 1882
Մեկ անգամ մեկը յուր հարևանին մի քանի հարյուր ոսկի փող էր պարտք տվել:		Երկնքի զանգակը 1882
- Տվե՜լ ես,- զարմանալով բացականչում էր պարտատերը:		Երկնքի զանգակը 1882
- Քանի ժամանակ է:		Երկնքի զանգակը 1882
- Դու ինձ ոչինչ չես տվել, ինչո՞ւ ես սուտ խոսում:		Երկնքի զանգակը 1882
- Ես սուտ չեմ խոսում, տվել եմ:		Երկնքի զանգակը 1882
- Եվ դու չե՞ս վախենում զանգակի դատաստանից:		Երկնքի զանգակը 1882
- Տա՛ր ինձ նրա մոտ:		Երկնքի զանգակը 1882
- Դու զրպարտում ես.		Երկնքի զանգակը 1882
ուզում ես փողդ երկու անգամ առնել.		Երկնքի զանգակը 1882
ես արդեն տվել եմ:		Երկնքի զանգակը 1882
- Զանգակն ինքն այդ ցույց կտա, որ դու պարտքդ դեռ չես տվել:		Երկնքի զանգակը 1882
Գնա՛նք նրա դատաստանին:		Երկնքի զանգակը 1882
- Գնա՛նք, ես արդար եմ:		Երկնքի զանգակը 1882
Հետաքրքիր ամբոխը շրջապատել էր զանգակի տախտակամածը:		Երկնքի զանգակը 1882
Ամենքն անհամբեր սպասում էին նրա արդար դատաստանին:		Երկնքի զանգակը 1882
Գանգատավորները բարձրացան տախտակամածը:		Երկնքի զանգակը 1882
- Այո՛, ա՛յ ժողովուրդ, ես հիմա էլ ասում եմ, որ պարտքս արդեն տվել եմ:		Երկնքի զանգակը 1882
- Երբ որ այդպես է, բռնի՛ր զանգակի թոկը:		Երկնքի զանգակը 1882
Պարտապանը ձեռքին մի հաստ գավազան ուներ.		Երկնքի զանգակը 1882
- Բռնի՛ր այս գավազանը,- ասաց նա գավազանը պարտատերին տալով:		Երկնքի զանգակը 1882
Պարտատերը, բոլորովին ոչինչ չկասկածելով, առավ գավազանը:		Երկնքի զանգակը 1882
Պարտապանը համարձակ մտավ զանգակի տակը և բացականչեց.		Երկնքի զանգակը 1882
- Ա՛յ անաչառ դատավոր֊զանգակ, դու ասա՛, ես փողը տվե՞լ եմ սրան, թե ոչ:		Երկնքի զանգակը 1882
Եվ բռնեց լեզվակի թոկից:		Երկնքի զանգակը 1882
- Տեսա՞ր,- դիմեց նա վերջինին.		Երկնքի զանգակը 1882
- Անամո՛թ, երկու անգամ էի՞ր ուզում առնել փողդ:		Երկնքի զանգակը 1882
