Sentence	Source
ప్రజాశక్తి నగర్, విజయవాడ	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నా రధచక్రాలు నవలకిది ఉత్తరకధ.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
దీనినింకా ఎంత దూరం కొనసాగనివ్వాలనేదే ప్రశ్న.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కండక్టరు కేక విని జానకి ఉలికిపడింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వెనక చక్రాల్ని ఈడ్చుకుంటూ బస్సు ఒక్క వూపులో నిలబడింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఈమారు అతని కంఠంలో దాష్టీకం వినబడింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బండి కుదుపుకు తూలిపోతూనే జానకి లేచి నిలబడింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పైన బెడ్డింగు వుంది, దింపు	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ పురమాయించి, కొడుకు వెంటరాగా బస్సు దిగింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూనే సమాధానం కోసం కూడా ఆగకుండా	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని క్రిందనున్న కుర్రవానికి అందించేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని అడుగుతున్నాడు, బెడ్డింగు అందుకొని కింద పెట్టిన కుర్రాడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తాను దిగవలసిన చోటు అదేనా అన్నట్లు జానకి దిక్కులు చూస్తూంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని, ఇక్కడ అటువంటిది ఏమీ కనబడ్డం లేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఈ దీపాలన్నీ వెలుగుతూంటే ఆ ప్రదేశం అంతా పట్టపగలులా వుంది కూడానూ!	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
